8,2,3,0,9,6,7,4,5,1
achixun,ain,akatsi,akin,ana,anu,atidubuki,bai,bakemixtibu,chakabuki
atiduki,ainbu,bia,bestimadan,anua,baiumabu,bexmastun,beyustidubuki,butidubuki,dauya
bechipaiamaken,ainbun,bikatsi,chibanunbunven,escuela,baiyabu,chibanma,bichiyamanunbunven,dayaxununbunven,dayamakin
bechipainamei,bakeya,cooperativo,dayamatidubuki',evatiduki,bekex,dasibibun,bikatsis,dua,detenamekatsi
beneyamiski,bene,daya,ibun,jaida,betsa,ibu,bununbunven,escuelanu,en
bimatimaki,bestichai,dayakatsi,ichaya,jenebaini,betsanu,ibubun,dasibi,jaibunamenunbunven,gobierno
dabe,betsan,dayanunbunven,imiski,jukatsi,betsapabu,jaibunameidan,dasibitun,jaskaven,ibubu
dayaken,dau,icha,jabiaskadidan,katiduki,betsapan,jancha,dayabestimadan,jau,ichakanika
duanamenunbunven,dukun,ichatidubuki,jadatu,keneama,betsapaven,janida,evatidubuki,katununbunven,ichapa
guardiabun,eva,ikaibun,jaibu,vai,chakabu,jusia,ikikiki,medabe,ichaxun
itiduki,inun,ikamaken,javen,xinan,ichaka,juxupabu,jakia,mekenunven,ika
jabias,ja,ikatsi,javenaki,,ikuain,kenenibuki,janu,nemanunbunven,ikama
jabiaskadi,jikitidubumaki,iki,jivea,,jayabuki,medabenamenunbunven,jaska,nemanunven,inamadan
vaidan,jive,ikin,jivetidubumaki,,jene,mexupabu,jayatidubuki,nemayamanunbunven,inankin
vakinan,juni,ikuankin,keskaidan,,jiveabu,taexun,jivekin,nichinyamanunbunven,ivanan
,junin,itidubuki,nabu,,kidi,taxipabu,jivenunbunan,padanmadan,ixun
,juní,jatu,nabubes,,mae,unayan,jívetiduki,pakanunven,java
,ken,javada,nabuuma,,tibi,yuda,ka,pevanunven,kabenunbunven
,nematidubumaki,jayamaken,nichintidumaki,,uinkin,yudabu,kene,taea,kupimakatsi
,piti,jivekatsi,ninkakin,,unanma,yuia,maniabun,unankinan,nemakin
,tadi,jutiduki,peki,,vatimaki,,na,vakín,ninkaxun
,vankin,mebintidumaki,pemen,,vaya,,pakamadan,vanunbunven,padanaibu
,vantiduki,pei,pepa,,yuitimaki,,pe,vanunven,pakamaxun
,vatiduki,vama,tapinunbunven,,,,uinmatidubuki,xinanyamanunbunven,tsumavakin
,yuikin,vatidubuki,uinunven,,,,unanuma,yumetsuyamanunven,uinmakatsi
,yusinan,vayamanunbunven,vakatsi,,,,xinankin,,vaken
,yusinanan,yuitidubuki,vakin,,,,,,xanen
,yusinkin,,xinain,,,,,,xinantiduki
,,,xinantidubuki,,,,,,yuiniken
,,,xinanxun,,,,,,
,,,yukabaunkin,,,,,,
